date,league,team1,team2,score1,score2
07/06/2019,FIFA Women's World Cup Final,France Women,South Korea Women,4,0
08/06/2019,FIFA Women's World Cup Final,Germany Women,China Women,1,0
08/06/2019,FIFA Women's World Cup Final,Spain Women,South Africa Women,3,1
08/06/2019,FIFA Women's World Cup Final,Norway Women,Nigeria Women,3,0
09/06/2019,FIFA Women's World Cup Final,Australia Women,Italy Women,1,2
09/06/2019,FIFA Women's World Cup Final,Brazil Women,Jamaica Women,3,0
09/06/2019,FIFA Women's World Cup Final,England Women,Scotland Women,2,1
10/06/2019,FIFA Women's World Cup Final,Argentina Women,Japan Women,0,0
10/06/2019,FIFA Women's World Cup Final,Canada Women,Cameroon Women,1,0
11/06/2019,FIFA Women's World Cup Final,New Zealand Women,Netherlands Women,0,1
11/06/2019,FIFA Women's World Cup Final,Chile Women,Sweden Women,0,2
11/06/2019,FIFA Women's World Cup Final,USA Women,Thailand Women,13,0
12/06/2019,FIFA Women's World Cup Final,Nigeria Women,South Korea Women,2,0
12/06/2019,FIFA Women's World Cup Final,Germany Women,Spain Women,1,0
12/06/2019,FIFA Women's World Cup Final,France Women,Norway Women,2,1
13/06/2019,FIFA Women's World Cup Final,Australia Women,Brazil Women,3,2
13/06/2019,FIFA Women's World Cup Final,South Africa Women,China Women,0,1
14/06/2019,FIFA Women's World Cup Final,Japan Women,Scotland Women,2,1
14/06/2019,FIFA Women's World Cup Final,England Women,Argentina Women,1,0
15/06/2019,FIFA Women's World Cup Final,Netherlands Women,Cameroon Women,3,1
15/06/2019,FIFA Women's World Cup Final,Canada Women,New Zealand Women,2,0
16/06/2019,FIFA Women's World Cup Final,Sweden Women,Thailand Women,5,1
16/06/2019,FIFA Women's World Cup Final,USA Women,Chile Women,3,0
17/06/2019,FIFA Women's World Cup Final,South Africa Women,Germany Women,0,4
17/06/2019,FIFA Women's World Cup Final,China Women,Spain Women,0,0
17/06/2019,FIFA Women's World Cup Final,South Korea Women,Norway Women,1,2
17/06/2019,FIFA Women's World Cup Final,Nigeria Women,France Women,0,1
18/06/2019,FIFA Women's World Cup Final,Jamaica Women,Australia Women,1,4
18/06/2019,FIFA Women's World Cup Final,Italy Women,Brazil Women,0,1
19/06/2019,FIFA Women's World Cup Final,Japan Women,England Women,0,2
20/06/2019,FIFA Women's World Cup Final,Scotland Women,Argentina Women,3,3
20/06/2019,FIFA Women's World Cup Final,Netherlands Women,Canada Women,2,1
20/06/2019,FIFA Women's World Cup Final,Cameroon Women,New Zealand Women,2,1
20/06/2019,FIFA Women's World Cup Final,Thailand Women,Chile Women,0,2
22/06/2019,FIFA Women's World Cup Final,Germany Women,Nigeria Women,3,0
22/06/2019,FIFA Women's World Cup Final,Norway Women,Australia Women,1,0
23/06/2019,FIFA Women's World Cup Final,England Women,Cameroon Women,3,0
23/06/2019,FIFA Women's World Cup Final,France Women,Brazil Women,2,1
24/06/2019,FIFA Women's World Cup Final,Spain Women,USA Women,1,2
24/06/2019,FIFA Women's World Cup Final,Sweden Women,Canada Women,1,0
25/06/2019,FIFA Women's World Cup Final,Italy Women,China Women,2,0
25/06/2019,FIFA Women's World Cup Final,Netherlands Women,Japan Women,2,1
27/06/2019,FIFA Women's World Cup Final,Norway Women,England Women,0,3
28/06/2019,FIFA Women's World Cup Final,France Women,USA Women,1,2
29/06/2019,FIFA Women's World Cup Final,Italy Women,Netherlands Women,0,2
29/06/2019,FIFA Women's World Cup Final,Germany Women,Sweden Women,1,2
02/07/2019,FIFA Women's World Cup Final,USA Women,England Women,2,1
03/07/2019,FIFA Women's World Cup Final,Netherlands Women,Sweden Women,1,0
06/07/2019,FIFA Women's World Cup Final,Sweden Women,England Women,2,1
07/07/2019,FIFA Women's World Cup Final,USA Women,Netherlands Women,2,0
